"GEOID","race","agecat","sex","acs.pop"
"25017339700","total","Age25-29","Female",1789
"25017339700","total","Age25-29","Male",1165
"25017339700","total","Age30-34","Female",1703
"25017339700","total","Age30-34","Male",1045
"25017339700","total","Age35-44","Female",1608
"25017339700","total","Age35-44","Male",1157
"25017339700","total","Age45-54","Female",989
"25017339700","total","Age45-54","Male",680
"25017339700","total","Age5-9","Female",441
"25017339700","total","Age5-9","Male",321
"25017339700","total","Age55-64","Female",1280
"25017339700","total","Age55-64","Male",1034
"25017339700","total","Age65-74","Female",536
"25017339700","total","Age65-74","Male",635
"25017339700","total","Age75-84","Female",564
"25017339700","total","Age75-84","Male",250
"25017339700","total","Age85+","Female",215
"25017339700","total","Age85+","Male",81
"25017339801","total","Age0-4","Female",759
"25017339801","total","Age0-4","Male",834
"25017339801","total","Age10-14","Female",20
"25017339801","total","Age10-14","Male",367
"25017339801","total","Age15-19","Female",215
"25017339801","total","Age15-19","Male",343
"25017339801","total","Age20-24","Female",697
"25017339801","total","Age20-24","Male",2214
"25017339801","total","Age25-29","Female",1910
"25017339801","total","Age25-29","Male",1689
"25017339801","total","Age30-34","Female",1858
"25017339801","total","Age30-34","Male",2569
"25017339801","total","Age35-44","Female",1645
"25017339801","total","Age35-44","Male",1399
"25017339801","total","Age45-54","Female",1207
"25017339801","total","Age45-54","Male",1744
"25017339801","total","Age5-9","Female",190
"25017339801","total","Age5-9","Male",124
"25017339801","total","Age55-64","Female",804
"25017339801","total","Age55-64","Male",834
"25017339801","total","Age65-74","Female",987
"25017339801","total","Age65-74","Male",820
"25017339801","total","Age75-84","Female",657
"25017339801","total","Age75-84","Male",299
"25017339801","total","Age85+","Female",140
"25017339801","total","Age85+","Male",203
"25017339802","total","Age0-4","Female",406
"25017339802","total","Age0-4","Male",839
"25017339802","total","Age10-14","Female",799
"25017339802","total","Age10-14","Male",895
"25017339802","total","Age15-19","Female",572
"25017339802","total","Age15-19","Male",396
"25017339802","total","Age20-24","Female",580
"25017339802","total","Age20-24","Male",504
"25017339802","total","Age25-29","Female",1706
"25017339802","total","Age25-29","Male",1072
"25017339802","total","Age30-34","Female",1522
"25017339802","total","Age30-34","Male",1181
"25017339802","total","Age35-44","Female",1904
"25017339802","total","Age35-44","Male",1551
