"apINDPOV","num","den","std_rate","var_std_rate","sumwt","sumwt2","std_rate_lo95","std_rate_up95"
"0-4.9%",627,500041,100.134852067064,1.51733627290436e-08,0.873614,0.086448522494,100.134610633864,100.135093500265
"20-100%",3574,1870523,218.646648357742,1.24986635223365e-08,0.873614,0.086448522494,218.646429234795,218.646867480688
